Date,BTC_usd,BTC_Volume
2015-06-24,244.281998,17344900
2015-06-25,240.365005,16133100
2015-06-26,242.604004,13983500
2015-06-27,243.548996,20488600
2015-06-28,250.955002,15137600
2015-06-29,248.720993,34742900
2015-06-30,257.036011,44533800
2015-07-01,263.345001,27029800
2015-07-02,258.552002,21551900
2015-07-03,255.459,19033800
2015-07-04,256.490997,15620400
2015-07-05,260.804993,44156100
2015-07-06,271.108002,49154800
2015-07-07,269.963013,28857600
2015-07-08,265.981995,36980200
2015-07-09,270.826996,40301200
2015-07-10,269.156006,100390000
2015-07-11,284.880005,41109900
2015-07-12,293.140015,56405000
2015-07-13,310.826996,62053900
2015-07-14,292.033997,28727200
2015-07-15,288.045013,27486600
2015-07-16,286.041992,49482600
2015-07-17,278.091003,27591400
2015-07-18,279.330994,25187100
2015-07-19,274.766998,15332500
2015-07-20,273.498993,22711400
2015-07-21,278.881989,22930700
2015-07-22,275.657013,19389800
2015-07-23,277.341003,18531300
2015-07-24,276.005005,37199400
2015-07-25,288.164001,20662200
2015-07-26,288.640015,16032300
2015-07-27,292.639008,30592000
2015-07-28,293.632996,25453600
2015-07-29,294.484009,24672600
2015-07-30,289.102997,21635800
2015-07-31,287.696014,23629100
2015-08-01,284.686005,18995000
2015-08-02,280.449005,17722200
2015-08-03,282.806,21474100
2015-08-04,281.225006,21908700
2015-08-05,284.846985,20128000
2015-08-06,281.906006,18792100
2015-08-07,278.740997,42484800
2015-08-08,279.742004,58533000
2015-08-09,261.115997,23789600
2015-08-10,265.477997,20979400
2015-08-11,264.34201,25433900
2015-08-12,270.597992,26815400
2015-08-13,266.183014,27685500
2015-08-14,264.131989,27091200
2015-08-15,265.528992,19321100
2015-08-16,261.865997,29717000
2015-08-17,258.48999,21617900
2015-08-18,257.925995,42147200
2015-08-19,225.671005,60869200
2015-08-20,226.899002,32275000
2015-08-21,235.354996,23173800
2015-08-22,232.662003,23205900
2015-08-23,230.376007,18406600
2015-08-24,228.112,59220700
2015-08-25,210.067993,61089200
2015-08-26,222.076004,31808000
2015-08-27,226.050003,21905400
2015-08-28,224.701004,31336600
2015-08-29,231.548996,17142500
2015-08-30,229.895004,19412600
2015-08-31,229.113998,20710700
2015-09-01,230.255997,20575200
2015-09-02,228.026993,18760400
2015-09-03,229.324005,17482000
2015-09-04,227.214996,20962400
2015-09-05,230.199005,20671400
2015-09-06,234.869995,25473700
2015-09-07,239.934006,21192200
2015-09-08,239.845993,26879200
2015-09-09,243.414993,23635700
2015-09-10,238.335999,21215500
2015-09-11,238.328995,19224700
2015-09-12,239.854996,17962600
2015-09-13,235.242004,18478800
2015-09-14,230.608994,20997800
2015-09-15,230.492004,19177800
2015-09-16,230.25,20144200
2015-09-17,229.076004,18935400
2015-09-18,233.520996,20242200
2015-09-19,232.858002,12712600
2015-09-20,231.399002,14444700
2015-09-21,231.216995,19678800
2015-09-22,226.968994,25009300
2015-09-23,230.936005,17254100
2015-09-24,230.358002,25097800
2015-09-25,234.362,22363600
2015-09-26,235.076004,13724100
2015-09-27,234.139008,14179900
2015-09-28,232.835999,24713000
2015-09-29,239.016006,22691300
2015-09-30,236.639999,19743500
2015-10-01,236.003998,20488800
2015-10-02,237.264008,19677900
2015-10-03,237.201996,16482700
2015-10-04,238.531006,12999000
2015-10-05,238.147003,23335900
2015-10-06,240.363998,27535100
2015-10-07,246.169998,22999200
2015-10-08,243.074997,18515300
2015-10-09,242.498001,17353100
2015-10-10,243.740005,15912700
2015-10-11,244.742004,16827300
2015-10-12,246.875,17388300
2015-10-13,245.199997,28198500
2015-10-14,249.492996,27462600
2015-10-15,252.106995,25223500
2015-10-16,254.296005,35901500
2015-10-17,262.747009,43199600
2015-10-18,270.907013,22434300
2015-10-19,261.860992,25258800
2015-10-20,263.571991,30889800
2015-10-21,269.306,25637300
2015-10-22,266.496002,37808600
2015-10-23,273.648987,29442500
2015-10-24,276.503998,25942400
2015-10-25,281.445007,45717100
2015-10-26,283.627991,32108800
2015-10-27,285.181,46331800
2015-10-28,293.703003,50808100
2015-10-29,304.324005,64495900
2015-10-30,313.942993,78305000
2015-10-31,328.511993,48598100
2015-11-01,315.005005,37001100
2015-11-02,325.941986,101918000
2015-11-03,361.872986,206162000
2015-11-04,403.664001,263900000
2015-11-05,408.076996,151824992
2015-11-06,388.046997,122687000
2015-11-07,374.269012,56625100
2015-11-08,384.278015,51817600
2015-11-09,374.324005,68224400
2015-11-10,379.984009,95797904
2015-11-11,339.820007,107070000
2015-11-12,314.07901,78477800
2015-11-13,338.497986,52003000
2015-11-14,336.623993,38612000
2015-11-15,333.050995,44213100
2015-11-16,319.734985,47980100
2015-11-17,330.362,51001600
2015-11-18,334.592987,43783800
2015-11-19,334.678986,45011100
2015-11-20,326.411011,53152900
2015-11-21,322.09201,28200500
2015-11-22,326.975006,23439400
2015-11-23,324.350006,27478900
2015-11-24,323.014008,29362600
2015-11-25,320.045013,41666900
2015-11-26,328.303009,106105000
2015-11-27,351.860992,55179100
2015-11-28,357.140991,36816600
2015-11-29,357.471985,40409300
2015-11-30,371.437012,71701600
2015-12-01,377.414001,60452200
2015-12-02,361.845001,54160500
2015-12-03,359.330994,50714900
2015-12-04,361.261993,35784100
2015-12-05,363.721008,66282200
2015-12-06,389.554993,77762000
2015-12-07,389.977997,63455800
2015-12-08,395.753998,57801400
2015-12-09,414.44101,90917200
2015-12-10,417.988007,52138900
2015-12-11,415.281006,110944000
2015-12-12,452.334991,131969000
2015-12-13,431.660004,55050600
2015-12-14,433.272003,130496000
2015-12-15,443.877991,83121104
2015-12-16,465.208008,107944000
2015-12-17,454.777008,47978400
2015-12-18,455.846985,60220100
2015-12-19,463.552002,47892700
2015-12-20,462.234009,75409400
2015-12-21,442.838013,77639696
2015-12-22,437.436005,50840400
2015-12-23,436.720001,47161400
2015-12-24,443.091003,57157200
2015-12-25,454.855011,39078500
2015-12-26,455.756012,116166000
2015-12-27,416.514008,53591200
2015-12-28,423.342987,49638600
2015-12-29,422.097992,51596500
2015-12-30,433.299988,46889400
2015-12-31,425.875,45996600
2016-01-01,430.721008,36278900
2016-01-02,434.622009,30096600
2016-01-03,433.578003,39633800
2016-01-04,430.061005,38477500
2016-01-05,433.069,34522600
2016-01-06,431.855988,34042500
2016-01-07,430.010986,87562200
2016-01-08,457.537994,56993000
2016-01-09,453.382996,32278000
2016-01-10,448.238007,35995900
2016-01-11,448.697998,40450000
2016-01-12,448.182007,115607000
2016-01-13,434.665009,173888000
2016-01-14,432.287994,43945500
2016-01-15,430.255005,153351008
2016-01-16,365.072998,120352000
2016-01-17,387.152008,45319600
2016-01-18,381.733002,54403900
2016-01-19,387.026001,46819800
2016-01-20,379.73999,121720000
2016-01-21,419.631989,68338000
2016-01-22,409.751007,91546600
2016-01-23,382.43399,56247400
2016-01-24,388.10199,54824800
2016-01-25,402.316986,59062400
2016-01-26,392.002014,58147000
2016-01-27,392.444,47424400
2016-01-28,395.145996,59247900
2016-01-29,380.108002,86125296
2016-01-30,378.86499,30284400
2016-01-31,378.292999,37894300
2016-02-01,369.350006,51656700
2016-02-02,372.920013,40378700
2016-02-03,374.645996,45933400
2016-02-04,370.174011,69285504
2016-02-05,388.89801,43825000
2016-02-06,386.588989,49249300
2016-02-07,376.514008,37076300
2016-02-08,376.756989,47671100
2016-02-09,373.423004,55318500
2016-02-10,376.145996,85130896
2016-02-11,382.114014,74375600
2016-02-12,379.686005,67042800
2016-02-13,384.640991,61911700
2016-02-14,392.932007,74469800
2016-02-15,407.567993,74070496
2016-02-16,401.432007,73093104
2016-02-17,407.656006,83193600
2016-02-18,416.571991,76752600
2016-02-19,422.730011,55711300
2016-02-20,421.601013,93992096
2016-02-21,437.77301,89820704
2016-02-22,438.989014,85385200
2016-02-23,438.255005,85244896
2016-02-24,420.955994,67743696
2016-02-25,425.036987,70798000
