Date,nasdaq_composite_index
2015-11-06,5124.040039
2015-11-09,5128.939941
2015-11-10,5068.549805
2015-11-11,5098.129883
2015-11-12,5043.100098
2015-11-13,4980.859863
2015-11-16,4916.140137
2015-11-17,4991.709961
2015-11-18,5004.600098
2015-11-19,5078.669922
2015-11-20,5096.959961
2015-11-23,5106.720215
2015-11-24,5070.660156
2015-11-25,5106.870117
2015-11-27,5121.930176
2015-11-30,5139.580078
2015-12-01,5129.640137
2015-12-02,5158.819824
2015-12-03,5143.160156
2015-12-04,5050.930176
2015-12-07,5139.459961
2015-12-08,5050.52002
2015-12-09,5077.209961
2015-12-10,5026.299805
2015-12-11,4979.77002
2015-12-14,4932.609863
2015-12-15,4991.209961
2015-12-16,5033.47998
2015-12-17,5087.169922
2015-12-18,4982.580078
2015-12-21,4957.529785
2015-12-22,4988.680176
2015-12-23,5025.549805
2015-12-24,5046.189941
2015-12-28,5032.290039
2015-12-29,5066.52002
2015-12-30,5101.180176
2015-12-31,5047.040039
2016-01-04,4897.649902
2016-01-05,4917.839844
2016-01-06,4813.759766
2016-01-07,4736.399902
2016-01-08,4722.02002
2016-01-11,4673.439941
2016-01-12,4681.540039
2016-01-13,4706.02002
2016-01-14,4545.370117
2016-01-15,4464.370117
2016-01-19,4548.049805
2016-01-20,4405.220215
2016-01-21,4480.700195
2016-01-22,4557.390137
2016-01-25,4574.589844
2016-01-26,4537.040039
2016-01-27,4548.870117
2016-01-28,4533.810059
2016-01-29,4512.089844
2016-02-01,4587.589844
2016-02-02,4588.689941
2016-02-03,4543.819824
2016-02-04,4492.47998
2016-02-05,4491.47998
2016-02-08,4288.02002
2016-02-09,4224.870117
2016-02-10,4318.279785
2016-02-11,4218.810059
2016-02-12,4307.290039
2016-02-16,4397.950195
2016-02-17,4471.660156
2016-02-18,4548.100098
2016-02-19,4464.669922
2016-02-22,4548.310059
2016-02-23,4550.049805
2016-02-24,4453.930176
2016-02-25,4554.72998
2016-02-26,4615.140137
2016-02-29,4585.299805
2016-03-01,4596.009766
2016-03-02,4683.799805
2016-03-03,4698.379883
2016-03-04,4715.759766
2016-03-07,4690.879883
2016-03-08,4676.220215
2016-03-09,4666.419922
2016-03-10,4691.200195
2016-03-11,4712.379883
2016-03-14,4733.390137
2016-03-15,4731.140137
2016-03-16,4717.879883
2016-03-17,4752.620117
2016-03-18,4784.629883
2016-03-21,4787.310059
2016-03-22,4783.600098
2016-03-23,4813.870117
2016-03-24,4743.359863
2016-03-28,4785.25
2016-03-29,4756.549805
2016-03-30,4875.459961
2016-03-31,4869.569824
2016-04-01,4842.549805
2016-04-04,4911.209961
2016-04-05,4855.899902
2016-04-06,4849.580078
2016-04-07,4893.569824
2016-04-08,4883.990234
2016-04-11,4873.390137
2016-04-12,4838.819824
2016-04-13,4904.790039
2016-04-14,4947.620117
2016-04-15,4938.830078
2016-04-18,4919.359863
2016-04-19,4968.299805
2016-04-20,4941.990234
2016-04-21,4949.120117
2016-04-22,4898.240234
2016-04-25,4891.47998
2016-04-26,4903.810059
2016-04-27,4855.379883
2016-04-28,4857.600098
2016-04-29,4805.790039
2016-05-02,4786.549805
2016-05-03,4780.879883
2016-05-04,4735.279785
2016-05-05,4742.419922
2016-05-06,4695.899902
2016-05-09,4736.350098
2016-05-10,4768.910156
2016-05-11,4799.299805
2016-05-12,4778.189941
2016-05-13,4731.069824
2016-05-16,4728.859863
2016-05-17,4768.850098
2016-05-18,4705.779785
2016-05-19,4717.359863
2016-05-20,4729.439941
2016-05-23,4771.569824
2016-05-24,4792.850098
2016-05-25,4877.180176
