Date,NYSE_usd
2015-11-10,10389.17969
2015-11-11,10454.15039
2015-11-12,10335
2015-11-13,10206.54004
2015-11-16,10143.37988
2015-11-17,10320.05957
2015-11-18,10285.37012
2015-11-19,10426.12988
2015-11-20,10460.25
2015-11-23,10433.62988
2015-11-24,10379.26953
2015-11-25,10449.67969
2015-11-27,10442.61035
2015-11-30,10455.48047
2015-12-01,10447.05957
2015-12-02,10501.09961
2015-12-03,10415.55957
2015-12-04,10266.5
2015-12-07,10408.86035
2015-12-08,10214.29004
2015-12-09,10191.34961
2015-12-10,10165.45996
2015-12-11,10074.08008
2015-12-14,9977.820313
2015-12-15,10057.33008
2015-12-16,10164.83984
2015-12-17,10267.83008
2015-12-18,10072.98047
2015-12-21,10017.12988
2015-12-22,10052.33984
2015-12-23,10180.62012
2015-12-24,10266.05957
2015-12-28,10225.99023
2015-12-29,10270.37988
2015-12-30,10277.53027
2015-12-31,10186.44043
2016-01-04,10020.04981
2016-01-05,10007.00977
2016-01-06,9907.370117
2016-01-07,9751.349609
2016-01-08,9692.799805
2016-01-11,9575.179688
2016-01-12,9591.30957
2016-01-13,9619.009766
2016-01-14,9405.429688
2016-01-15,9387.540039
2016-01-19,9378.860352
2016-01-20,9214.94043
2016-01-21,9164.169922
2016-01-22,9343.129883
2016-01-25,9393.540039
2016-01-26,9295.339844
2016-01-27,9403.870117
2016-01-28,9374.839844
2016-01-29,9439.339844
2016-02-01,9578.919922
2016-02-02,9532.990234
2016-02-03,9471.790039
2016-02-04,9484.129883
2016-02-05,9499.530273
2016-02-08,9294.879883
2016-02-09,9131.980469
2016-02-10,9221.839844
2016-02-11,9092.910156
2016-02-12,9092.870117
2016-02-16,9317.94043
2016-02-17,9426.759766
2016-02-18,9532.860352
2016-02-19,9465.179688
2016-02-22,9485.769531
2016-02-23,9582.759766
2016-02-24,9411.269531
2016-02-25,9534.740234
2016-02-26,9668.259766
2016-02-29,9615.169922
2016-03-01,9626.879883
2016-03-02,9746.419922
2016-03-03,9828.30957
2016-03-04,9929.330078
2016-03-07,9922.379883
2016-03-08,9952.230469
2016-03-09,9906.839844
2016-03-10,9954.160156
2016-03-11,9988.290039
2016-03-14,10073.33008
2016-03-15,10005.58984
2016-03-16,9986.480469
2016-03-17,10101.65039
2016-03-18,10216.59961
2016-03-21,10204.7002
2016-03-22,10169.90039
2016-03-23,10171.37988
2016-03-24,10032.88965
2016-03-28,10105.12012
2016-03-29,10071.41992
2016-03-30,10245.92969
2016-03-31,10236.79981
