Date,Litecoin_usd
2015-08-21,3.60023
2015-08-22,3.56256
2015-08-23,3.51328
2015-08-24,3.39258
2015-08-25,2.98477
2015-08-26,2.94969
2015-08-27,2.94614
2015-08-28,2.84239
2015-08-29,2.91616
2015-08-30,2.87156
2015-08-31,2.85323
2015-09-01,2.84742
2015-09-02,2.81981
2015-09-03,2.79669
2015-09-04,2.63814
2015-09-05,2.70205
2015-09-06,2.91782
2015-09-07,3.039
2015-09-08,3.04737
2015-09-09,3.04828
2015-09-10,2.92465
2015-09-11,2.94878
2015-09-12,2.96257
2015-09-13,2.82479
2015-09-14,2.81492
2015-09-15,2.8442
2015-09-16,2.82994
2015-09-17,2.80622
2015-09-18,2.91062
2015-09-19,2.95491
2015-09-20,2.87507
2015-09-21,2.85372
2015-09-22,2.79847
2015-09-23,2.85505
2015-09-24,2.87151
2015-09-25,2.93324
2015-09-26,2.89472
2015-09-27,2.88899
2015-09-28,2.88133
2015-09-29,3.10265
2015-09-30,2.96609
2015-10-01,3.0139
2015-10-02,2.99683
2015-10-03,2.99867
2015-10-04,3.03292
2015-10-05,3.02106
2015-10-06,3.02012
2015-10-07,3.14897
2015-10-08,3.06134
2015-10-09,3.06913
2015-10-10,3.11235
2015-10-11,3.10868
2015-10-12,3.14903
2015-10-13,3.13909
2015-10-14,3.18153
2015-10-15,3.14995
2015-10-16,3.10864
2015-10-17,3.11124
2015-10-18,3.07411
2015-10-19,3.03062
2015-10-20,3.05258
2015-10-21,3.09344
2015-10-22,3.08079
2015-10-23,3.12043
2015-10-24,3.11266
2015-10-25,3.10972
2015-10-26,3.0711
2015-10-27,3.10703
2015-10-28,3.0993
2015-10-29,3.10248
2015-10-30,3.76857
2015-10-31,4.08356
2015-11-01,3.81509
2015-11-02,3.98289
2015-11-03,4.17497
2015-11-04,4.5799
2015-11-05,4.19955
2015-11-06,3.94524
2015-11-07,3.55124
2015-11-08,3.61987
2015-11-09,3.43286
2015-11-10,3.40039
2015-11-11,3.11711
2015-11-12,2.97215
2015-11-13,3.26864
2015-11-14,3.22337
2015-11-15,3.19864
2015-11-16,3.06645
2015-11-17,3.19037
2015-11-18,3.19891
2015-11-19,3.19123
2015-11-20,3.13604
2015-11-21,3.11744
2015-11-22,3.16329
2015-11-23,3.14389
2015-11-24,3.13036
2015-11-25,3.11383
2015-11-26,3.35139
2015-11-27,3.6014
2015-11-28,3.57541
2015-11-29,3.53436
2015-11-30,3.66437
2015-12-01,3.62608
2015-12-02,3.43093
2015-12-03,3.34672
2015-12-04,3.38233
2015-12-05,3.36994
2015-12-06,3.52538
2015-12-07,3.45255
2015-12-08,3.64767
2015-12-09,3.68282
2015-12-10,3.66964
2015-12-11,3.67299
2015-12-12,3.84252
2015-12-13,3.5963
2015-12-14,3.63688
2015-12-15,3.61842
2015-12-16,3.83891
2015-12-17,3.70411
2015-12-18,3.75132
2015-12-19,3.76516
2015-12-20,3.74056
2015-12-21,3.54621
2015-12-22,3.45878
2015-12-23,3.43238
2015-12-24,3.59019
2015-12-25,3.64888
2015-12-26,3.64114
2015-12-27,3.42032
2015-12-28,3.47781
2015-12-29,3.47063
2015-12-30,3.512
2015-12-31,3.4593
2016-01-01,3.47952
2016-01-02,3.51528
2016-01-03,3.504
2016-01-04,3.4791
2016-01-05,3.492
2016-01-06,3.46706
2016-01-07,3.45007
2016-01-08,3.5968
2016-01-09,3.57435
2016-01-10,3.55916
2016-01-11,3.52627
2016-01-12,3.55302
2016-01-13,3.48998
2016-01-14,3.47093
2016-01-15,3.46404
2016-01-16,2.96572
2016-01-17,3.08732
2016-01-18,3.01955
2016-01-19,3.04766
2016-01-20,3.0148
2016-01-21,3.38423
2016-01-22,3.23105
2016-01-23,3.08203
2016-01-24,3.11351
2016-01-25,3.18795
2016-01-26,3.12537
2016-01-27,3.15935
2016-01-28,3.29286
2016-01-29,3.1384
2016-01-30,3.11813
2016-01-31,3.09693
2016-02-01,3.07343
2016-02-02,3.08801
2016-02-03,3.08639
2016-02-04,3.05753
2016-02-05,3.17151
2016-02-06,3.14997
2016-02-07,3.1096
2016-02-08,3.0919
2016-02-09,3.07608
2016-02-10,3.08898
2016-02-11,3.11214
